,year,milage,price
257,2018,"55,971 miles","$24,990"
258,2013,"103,931 miles","$11,999"
259,2020,"44,967 miles","$43,487"
260,2021,"16,434 miles","$34,991"
261,2013,"96,170 miles","$37,895"
262,2021,"40,089 miles","$32,999"
263,2013,"80,436 miles","$15,900"
264,2020,"32,835 miles","$35,217"
265,2020,"49,661 miles","$27,998"
266,2020,"65,568 miles","$25,697"
267,2020,"58,789 miles","$23,777"
268,2020,"95,547 miles","$29,681"
269,2019,"32,944 miles","$41,082"
270,2017,"60,330 miles","$25,653"
271,2019,"33,636 miles","$39,880"
272,2016,"94,972 miles","$14,995"
273,2016,"60,531 miles","$29,995"
274,2014,"114,383 miles","$10,599"
275,2020,"60,407 miles","$52,995"
276,2016,"86,580 miles","$18,995"
277,2016,"108,158 miles","$12,999"
278,2019,"63,412 miles","$36,895"
279,2020,"68,995 miles","$25,604"
280,2015,"134,560 miles","$15,499"
281,2021,"59,785 miles","$29,695"
282,2007,"77,980 miles","$19,788"
283,2021,"25,032 miles","$33,500"
284,2022,"44,124 miles","$34,965"
285,2019,"36,344 miles","$57,491"
286,2020,"60,504 miles","$25,214"
287,2022,"12,257 miles","$68,762"
288,2021,"43,258 miles","$33,281"
289,2015,"132,636 miles","$9,990"
290,2012,"136,133 miles","$10,995"
291,2015,"66,969 miles","$18,995"
292,2018,"99,499 miles","$15,500"
293,2021,"16,135 miles","$36,991"
294,2020,"43,130 miles","$30,550"
295,2013,"111,105 miles","$9,999"
296,2021,"38,963 miles","$29,102"
297,2012,"63,037 miles","$19,990"
298,2021,"23,152 miles","$28,943"
299,2023,35 miles,"$155,000"
300,2013,"107,822 miles","$11,999"
301,2014,"110,135 miles","$16,499"
302,2016,"113,629 miles","$15,995"
303,2020,"17,845 miles","$87,999"
304,2021,"9,412 miles","$36,741"
305,2019,"43,682 miles","$38,499"
306,2020,"52,036 miles","$26,991"
307,2022,"22,096 miles","$33,340"
308,2020,"4,262 miles","$59,585"
